Category,Year,Quarter,Quarterly Sales,Customer Rating,Seller Rating,Price,Discount Rate,Units Sold,Revenue,Shipping Method,Location,Advertising Cost,Date
Electronics,2018,Q1,1200.0,4.0,4.0,200.0,10.0,50.0,10000.0,Standard,US,500.0,2018-01-31
Electronics,2018,Q1,1200.0,4.0,4.0,200.0,10.0,50.0,10000.0,Standard,US,500.0,2018-02-28
Clothing,2019,Q2,800.0,5.0,4.0,50.0,5.0,200.0,16000.0,Express,EU,200.0,2019-04-30
Clothing,2019,Q2,800.0,5.0,4.0,50.0,5.0,200.0,16000.0,Express,EU,200.0,2019-05-31
Books,2020,Q3,600.0,4.0,3.0,30.0,15.0,100.0,6000.0,Standard,Asia,300.0,2020-07-31
Books,2020,Q3,600.0,4.0,3.0,30.0,15.0,100.0,6000.0,Standard,Asia,300.0,2020-08-31
Home & Kitchen,2021,Q4,1500.0,5.0,5.0,120.0,8.0,30.0,45000.0,Express,US,700.0,2021-10-31
Home & Kitchen,2021,Q4,1500.0,5.0,5.0,120.0,8.0,30.0,45000.0,Express,US,700.0,2021-11-30
Beauty,2018,Q1,1000.0,4.0,3.0,80.0,12.0,40.0,40000.0,Standard,EU,400.0,2018-01-31
Beauty,2018,Q1,1000.0,4.0,3.0,80.0,12.0,40.0,40000.0,Standard,EU,400.0,2018-02-28
Electronics,2022,Q2,900.0,4.0,4.0,250.0,8.0,30.0,27000.0,Standard,Asia,600.0,2022-04-30
Electronics,2022,Q2,900.0,4.0,4.0,250.0,8.0,30.0,27000.0,Standard,Asia,600.0,2022-05-31
Clothing,2019,Q3,700.0,5.0,5.0,60.0,10.0,150.0,10500.0,Express,US,300.0,2019-07-31
Clothing,2019,Q3,700.0,5.0,5.0,60.0,10.0,150.0,10500.0,Express,US,300.0,2019-08-31
Books,2020,Q4,1200.0,4.0,3.0,35.0,0.2,80.0,9600.0,Standard,EU,250.0,2020-10-31
Books,2020,Q4,1200.0,4.0,3.0,35.0,0.2,80.0,9600.0,Standard,EU,250.0,2020-11-30
Home & Kitchen,2021,Q1,1300.0,5.0,4.0,110.0,15.0,20.0,26000.0,Express,Asia,800.0,2021-01-31
Home & Kitchen,2021,Q1,1300.0,5.0,4.0,110.0,15.0,20.0,26000.0,Express,Asia,800.0,2021-02-28
Beauty,2018,Q2,1100.0,4.0,5.0,90.0,18.0,50.0,55000.0,Standard,US,450.0,2018-04-30
Beauty,2018,Q2,1100.0,4.0,5.0,90.0,18.0,50.0,55000.0,Standard,US,450.0,2018-05-31
Electronics,2019,Q3,950.0,5.0,4.0,220.0,12.0,25.0,23750.0,Express,EU,400.0,2019-07-31
Electronics,2019,Q3,950.0,5.0,4.0,220.0,12.0,25.0,23750.0,Express,EU,400.0,2019-08-31
Clothing,2020,Q4,850.0,4.0,3.0,55.0,8.0,100.0,42500.0,Standard,Asia,300.0,2020-10-31
